track_name,album,album_release,artist,popularity,genres,playlist,duration_sec
Gone - The Wild Remix,Gone (The Wild Remix),09-08-2019,Charli XCX,57,pop,Pop Remix,193.8609999999
American Boy - Brooks Remix,American Boy (Brooks Remix),14-06-2019,Estelle,56,pop,Pop Remix,200.625
Million Pieces - M-22 Remix,Million Pieces (M-22 Remix),27-09-2019,Bastille,53,pop,Pop Remix,166.237
joy. (R3HAB Remix),joy. (R3HAB Remix),25-01-2019,for KING & COUNTRY,56,pop,Pop Remix,171.5
Crash Into Me - Settle Down Steavis Aoki Remix,Crash Into Me (Settle Down Steavis Aoki Remix),12-11-2019,Steve Aoki,34,pop,Pop Remix,266.719
Old Town Road - Diplo Remix,Old Town Road (Diplo Remix),29-04-2019,Lil Nas X,74,pop,Pop Remix,204.02699999999996
Lovers + Strangers - GATTÜSO Remix,Lovers + Strangers (GATTÜSO Remix),15-11-2019,Starley,46,pop,Pop Remix,203.96799999990003
Promises (with Sam Smith) - David Guetta Remix,Promises (with Sam Smith) [Remixes],19-10-2018,Calvin Harris,63,pop,Pop Remix,190.417
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),12-12-2019,R3HAB,55,pop,Pop Remix,237.68600000000004
What Am I - SONDR Remix,What Am I (SONDR Remix),01-11-2019,Why Don't We,52,pop,Pop Remix,180.361
Cool Kids,Cool Kids,01-11-2019,Olympis,67,pop,Pop Remix,139.04799999999997
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],09-08-2019,DJ Snake,63,pop,Pop Remix,279.7999999999
All Star - Breathe Carolina Remix,All Star (Breathe Carolina Remix),23-08-2019,Smash Mouth,60,pop,Pop Remix,217.04300000000003
Trampoline - Dave Audé Remix,Melt (Deluxe),27-12-2019,SHAED,45,pop,Pop Remix,230.476
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],11-07-2019,David Guetta,58,pop,Pop Remix,188.6399999999
With You - Dexter Remix,With You - The Remixes,12-09-2019,Kaskade,51,pop,Pop Remix,196.613
Safety (feat. DJ Snake) - Dark Heart 2am Mix,Safety (The Dark Heart Remixes) (feat. DJ Snake),15-11-2019,GASHI,58,pop,Pop Remix,209.99999999990004
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],28-09-2018,Bazzi vs.,56,pop,Pop Remix,187.86900000000006
Talk - Disclosure VIP,Talk (Disclosure VIP),27-03-2019,Khalid,60,pop,Pop Remix,273.22900000000004
Spicy - Majestic Remix,Spicy (with Diplo & Charli XCX) [Remixes],11-10-2019,Herve Pagez,48,pop,Pop Remix,255.86100000000002
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],04-10-2019,Mark Ronson,56,pop,Pop Remix,216.7139999999
Treehouse - R3HAB Remix,Treehouse (R3HAB Remix),13-09-2019,James Arthur,56,pop,Pop Remix,192.653
Hearts Ain't Gonna Lie - Eden Prince Remix,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",09-02-2018,Arlissa,65,pop,Pop Remix,238.45099999989998
Call You Mine,World War Joy,31-05-2019,The Chainsmokers,39,pop,Dance Pop,217.65299999990003
Post Malone (feat. RANI),Magnets EP,24-05-2019,Sam Feldt,83,pop,Dance Pop,174.444
Here With Me,Here With Me,08-03-2019,Marshmello,83,pop,Dance Pop,156.34700000000004
Easier - Seeb Remix,Easier (Seeb Remix),12-07-2019,5 Seconds of Summer,71,pop,Dance Pop,165.767
Sixteen,Sixteen,12-04-2019,Ellie Goulding,81,pop,Dance Pop,201.072
Never Really Over,Never Really Over,31-05-2019,Katy Perry,85,pop,Dance Pop,223.523
All You Need To Know (feat. Calle Lehmann),All You Need To Know (feat. Calle Lehmann),27-03-2019,Gryffin,76,pop,Dance Pop,238.459
I Miss Myself (with HRVY),I Miss Myself (with HRVY),03-05-2019,NOTD,71,pop,Dance Pop,191.612
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],04-10-2019,Ed Sheeran,65,pop,Dance Pop,173.4549999999
Takeaway (feat. Lennon Stella),World War Joy...Takeaway,24-07-2019,The Chainsmokers,67,pop,Dance Pop,209.893
All the Time,All the Time,21-06-2019,Zara Larsson,74,pop,Dance Pop,228.1119999999
What I Like About You (feat. Theresa Rex),What I Like About You (feat. Theresa Rex),22-03-2019,Jonas Blue,81,pop,Dance Pop,220.39599999990003
With You,With You,14-06-2019,Kaskade,71,pop,Dance Pop,180.84
Body Back (feat. Maia Wright),Body Back (feat. Maia Wright),18-10-2019,Gryffin,75,pop,Dance Pop,214.63399999990008
Not Ok,Not Ok,23-05-2019,Kygo,73,pop,Dance Pop,210.944
Ruin My Life,Ruin My Life,18-10-2018,Zara Larsson,79,pop,Dance Pop,190.93200000000002
I Wanna Know (feat. Bea Miller),I Wanna Know (feat. Bea Miller),16-03-2018,NOTD,74,pop,Dance Pop,197.93900000000002
Better With You,Better With You,01-03-2019,3LAU,63,pop,Dance Pop,192.94099999999997
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",19-04-2019,Kygo,79,pop,Dance Pop,215.31600000000003
Polaroid,Blue,09-11-2018,Jonas Blue,16,pop,Dance Pop,193.377
Lost In Japan - Remix,Lost In Japan (Remix),27-09-2018,Shawn Mendes,75,pop,Dance Pop,201.25299999990003
In Your Arms (with X Ambassadors),ASCEND,16-08-2019,ILLENIUM,75,pop,Dance Pop,220.7299999999
I'm Not Alright,I'm Not Alright,12-07-2019,Loud Luxury,55,pop,Dance Pop,185.062
SOS,SOS,10-04-2019,Avicii,30,pop,Dance Pop,157.202
Harder,Snacks,12-07-2019,Jax Jones,62,pop,Dance Pop,159.7529999999
The Middle,The Middle,23-01-2018,Zedd,84,pop,Dance Pop,184.732
Wanted,Wanted,27-09-2019,NOTD,70,pop,Dance Pop,160.99800000000002
Crash Into Me,Crash Into Me,12-07-2019,Steve Aoki,37,pop,Dance Pop,226.093
Need Your Love (with Noah Kahan),Gravity,24-10-2019,Gryffin,70,pop,Dance Pop,205.787
Good Things Fall Apart (with Jon Bellion),Good Things Fall Apart (with Jon Bellion),13-05-2019,ILLENIUM,74,pop,Dance Pop,216.668
Don't Call Me Up,Ivy To Roses (Mixtape),18-01-2019,Mabel,85,pop,Dance Pop,178.48000000000005
Nostalgic,Nostalgic,18-06-2019,A R I Z O N A,36,pop,Dance Pop,182.668
Let It Be Me,Let It Be Me,06-09-2019,Steve Aoki,52,pop,Dance Pop,224.06100000000004
Lovers + Strangers,Lovers + Strangers,11-10-2019,Starley,58,pop,Dance Pop,178.50099999999998
Sad Song (feat. TINI),Sad Song (feat. TINI),14-06-2019,Alesso,72,pop,Dance Pop,154.024
Sleepless Nights,In the Shape of a Dream,31-08-2018,ayokay,64,pop,Dance Pop,197.88
Save Me Tonight,Save Me Tonight,25-01-2019,ARTY,63,pop,Dance Pop,170.079
Pretty Girl - Cheat Codes X CADE Remix,Pretty Girl (Cheat Codes X CADE Remix),02-03-2017,Maggie Lindemann,77,pop,Dance Pop,193.613
No Sleep (feat. Bonn),No Sleep (feat. Bonn),21-02-2019,Martin Garrix,76,pop,Dance Pop,207.095
Feel Good (feat. Daya),Feel Good (feat. Daya),03-03-2017,Gryffin,74,pop,Dance Pop,248.15600000000003
Endless Summer,Endless Summer,12-07-2019,Cashae,56,pop,Dance Pop,202.072
Faith (with Dolly Parton) [feat. Mr. Probz],Faith (with Dolly Parton) [feat. Mr. Probz],25-10-2019,Galantis,77,pop,Dance Pop,186.805
Think About You,Think About You,14-02-2019,Kygo,71,pop,Dance Pop,208.567
Party For One,Dedicated,17-05-2019,Carly Rae Jepsen,64,pop,Dance Pop,184.53299999989997
Ritual,Ritual,31-05-2019,Tiësto,82,pop,Dance Pop,198.996
Electricity (with Dua Lipa),Electricity (with Dua Lipa),06-09-2018,Silk City,81,pop,Dance Pop,238.173
Lie,Lie,25-01-2018,Shallou,41,pop,Dance Pop,215.446
I Found You (with Calvin Harris),FRIENDS KEEP SECRETS,07-12-2018,benny blanco,62,pop,Dance Pop,189.165
Now That I Found You,Now That I Found You / No Drug Like Me,27-02-2019,Carly Rae Jepsen,5,pop,Dance Pop,200.31800000000004
All Comes Back To You,All Comes Back To You,25-10-2019,R3HAB,72,pop,Dance Pop,160.312
Need U,Need U,16-08-2019,DVBBS,24,pop,Dance Pop,219.521
First Love,First Love,13-10-2017,Lost Kings,58,pop,Dance Pop,207.428
Something Real,Something Real,12-07-2019,Armin van Buuren,65,pop,Dance Pop,179.53099999999998
TIME,ALESSO MIXTAPE - PROGRESSO VOLUME 1,08-03-2019,Alesso,64,pop,Dance Pop,166.0
Something About You (with Rudimental),Distinction EP,09-08-2019,Elderbrook,53,pop,Dance Pop,203.1999999999
Home (feat. Bonn),Home (feat. Bonn),16-08-2019,Martin Garrix,72,pop,Dance Pop,239.067
Simple (STVW Remix),Simple (STVW Remix),12-04-2019,FANNYPACK,39,pop,Dance Pop,147.554
Sorry,Sorry,05-04-2019,Joel Corry,75,pop,Dance Pop,188.6399999999
Spicy (with Diplo & Charli XCX),Spicy (with Diplo & Charli XCX),30-05-2019,Herve Pagez,60,pop,Dance Pop,157.159
The Upside (feat. Elle King),The Upside (feat. Elle King) / The Upside / Underground,02-08-2019,Lindsey Stirling,18,pop,Dance Pop,228.502
Stay,Stay,23-02-2017,Zedd,79,pop,Dance Pop,210.09099999999998
Million Voices,Balance,25-10-2019,Armin van Buuren,60,pop,Dance Pop,187.15
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",28-09-2018,DJ Snake,83,pop,Dance Pop,212.50000000000009
Closer (feat. Halsey),Closer (feat. Halsey),29-07-2016,The Chainsmokers,85,pop,Dance Pop,244.96
Say My Name (feat. Zyra) - RAC Mix,Say My Name Remixes,13-10-2014,ODESZA,47,pop,Dance Pop,243.091
Clarity,Clarity,01-01-2012,Zedd,74,pop,Dance Pop,271.427
Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),17-05-2018,Clean Bandit,80,pop,Dance Pop,222.65299999990003
Scared to Be Lonely,Scared to Be Lonely,27-01-2017,Martin Garrix,81,pop,Dance Pop,220.88299999999998
Friends (with BloodPop®),Friends (with BloodPop®),17-08-2017,Justin Bieber,76,pop,Dance Pop,189.467
RITMO (Bad Boys For Life),RITMO (Bad Boys For Life),12-10-2019,The Black Eyed Peas,96,pop,Dance Pop,221.71399999999997
Promises (with Sam Smith),Promises (with Sam Smith),17-08-2018,Calvin Harris,84,pop,Dance Pop,213.30900000000003
Turn Me On (feat. Vula),Turn Me On (feat. Vula),13-09-2019,Riton,86,pop,Dance Pop,208.474
Light,Light,10-02-2017,San Holo,68,pop,Dance Pop,239.85299999999998
2U,2U,09-06-2017,David Guetta,66,pop,Dance Pop,194.907
Something Just Like This,Memories...Do Not Open,07-04-2017,The Chainsmokers,83,pop,Dance Pop,247.16000000000003
One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),06-04-2018,Calvin Harris,85,pop,Dance Pop,214.847
Heroes (we could be),Forever,26-05-2015,Alesso,73,pop,Dance Pop,210.013
It Ain’t Me (with Selena Gomez),It Ain't Me,17-02-2017,Kygo,69,pop,Dance Pop,220.78100000000003
Let Me Love You (Until You Learn To Love Yourself),R.E.D. (Deluxe Edition),01-01-2012,Ne-Yo,69,pop,Dance Pop,251.627
Let Me Love You,Encore,05-08-2016,DJ Snake,81,pop,Dance Pop,205.947
Roses,Roses,16-06-2015,The Chainsmokers,73,pop,Dance Pop,226.73899999999998
Stay The Night - Featuring Hayley Williams Of Paramore,Clarity (Deluxe),2012,Zedd,61,pop,Dance Pop,217.347
Latch,Settle,01-01-2013,Disclosure,19,pop,Dance Pop,255.63200000000003
Flames,7,14-09-2018,David Guetta,57,pop,Dance Pop,195.00000000000003
Sorry,Purpose (Deluxe),13-11-2015,Justin Bieber,81,pop,Dance Pop,200.787
This Is What You Came For,This Is What You Came For,29-04-2016,Calvin Harris,79,pop,Dance Pop,222.16
Wake Me Up,TRUE,01-01-2013,Avicii,84,pop,Dance Pop,247.42699999990006
In My Mind,In My Mind,08-06-2018,Dynoro,84,pop,Dance Pop,184.56
Titanium (feat. Sia),Nothing but the Beat 2.0,26-08-2011,David Guetta,66,pop,Dance Pop,245.0399999999
Where Are Ü Now,Purpose (Deluxe),13-11-2015,Skrillex,8,pop,Dance Pop,242.52
Firework,Teenage Dream,01-01-2010,Katy Perry,64,pop,Dance Pop,227.89300000000003
Mi Gente (feat. Beyoncé),Mi Gente (feat. Beyoncé),28-09-2017,J Balvin,61,pop,Dance Pop,209.733
Don't You Worry Child - Radio Edit,Until Now,01-01-2012,Swedish House Mafia,27,pop,Dance Pop,213.169
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),23-09-2016,Justin Timberlake,74,pop,Dance Pop,237.547
Anything Could Happen,Halcyon,01-01-2012,Ellie Goulding,57,pop,Dance Pop,286.32199999999995
Poker Face,The Fame,01-01-2008,Lady Gaga,69,pop,Dance Pop,237.2
How Deep Is Your Love,How Deep Is Your Love,17-07-2015,Calvin Harris,77,pop,Dance Pop,212.64
In Your Eyes (feat. Alida),In Your Eyes (feat. Alida),10-01-2020,Robin Schulz,74,pop,Dance Room,208.2219999999
Wish You Well (with Sigala),Get To Know,27-09-2019,Sigala,5,pop,Dance Room,206.43999999989998
With You - LöKii Remix,With You - The Remixes,12-09-2019,Kaskade,57,pop,Dance Room,231.48
Dive,Dive,20-12-2019,Hot Shade,68,pop,Dance Room,164.49000000000004
No Goodbye,No Goodbye,26-07-2019,Paul Kalkbrenner,65,pop,Dance Room,168.547
Work,Work,25-01-2019,MOTi,58,pop,Dance Room,155.23799999989998
Instagram,Instagram,05-07-2019,Dimitri Vegas & Like Mike,81,pop,Dance Room,184.558
Better Off Without You (feat. Shift K3Y),Better Off Without You (feat. Shift K3Y),10-01-2020,Becky Hill,68,pop,Dance Room,198.743
Butterfly,Butterfly,21-06-2019,Molella,43,pop,Dance Room,159.19400000000005
All The Love You Got,All The Love You Got,20-12-2019,MOTi,57,pop,Dance Room,165.71400000000003
Call You Mine - Asketa & Natan Chaim Remix,Call You Mine - The Remixes,19-07-2019,The Chainsmokers,58,pop,Dance Room,183.65299999990003
Love Is Not Enough,Love Is Not Enough,19-12-2019,GATTÜSO,58,pop,Dance Room,202.5
Lose Control,Lose Control,11-10-2019,MEDUZA,91,pop,Dance Room,168.387
I Wanna Dance,I Wanna Dance,19-07-2019,Jonas Blue,67,pop,Dance Room,184.582
After The Landslide - Club Remix,After The Landslide (Remix),19-09-2019,Matt Simons,42,pop,Dance Room,239.99999999990004
Midnight Hour with Boys Noize & Ty Dolla $ign,Midnight Hour with Boys Noize & Ty Dolla $ign,29-08-2019,Skrillex,70,pop,Dance Room,198.83899999999997
Pon de Replay,Pon de Replay,28-04-2017,Ed Marquis,64,pop,Dance Room,257.94299999990005
So Close,So Close (feat. Georgia Ku),02-11-2018,NOTD,79,pop,Dance Room,190.30200000000002
Look Into My Eyes,Look Into My Eyes,10-01-2020,Brando,48,pop,Dance Room,154.6539999999
Not in Control,Not in Control,20-12-2019,Glaceo,53,pop,Dance Room,179.01599999990006
BLUE,BLUE,13-12-2019,Tiësto,75,pop,Dance Room,167.85899999999998
Don't Waste My Time,Don't Waste My Time,08-11-2019,Kharfi,46,pop,Dance Room,154.286
Beat Of My Heart,Alive And Feeling Fine,04-10-2019,Lost Frequencies,67,pop,Dance Room,183.18299999990003
Don't Start Now - Kungs Remix,Don't Start Now (Kungs Remix),18-12-2019,Dua Lipa,65,pop,Dance Room,216.25600000000003
Drunken Truth,The Seed EP,20-12-2019,Steve Void,56,pop,Dance Room,158.09099999999998
Jacques,Jacques,28-08-2019,Jax Jones,42,pop,Dance Room,203.227
Something Real,Balance,25-10-2019,Armin van Buuren,58,pop,Dance Room,179.53099999999998
Stay (Don't Go Away) [feat. Raye],Stay (Don't Go Away) [feat. Raye],09-05-2019,David Guetta,74,pop,Dance Room,185.94300000000004
Solid Gold,Solid Gold,02-05-2019,PNAU,65,pop,Dance Room,208.36700000000002
One Life,One Life,27-09-2019,Mike Perry,64,pop,Dance Room,204.59099999999998
All ‘Bout The Money,All ‘Bout The Money,18-10-2019,FAULHABER,51,pop,Dance Room,169.96399999999997
Never Letting Go,Never Letting Go,09-11-2018,Audien,63,pop,Dance Room,172.52
Used To Love (with Dean Lewis),Used To Love (with Dean Lewis),31-10-2019,Martin Garrix,83,pop,Dance Room,236.7649999999
Giulia,Giulia,29-11-2019,Prince Paris,55,pop,Dance Room,153.231
What Do I Do? - Benny Benassi Remix,What Do I Do? (Benny Benassi Remix),18-10-2019,Georgia Ku,39,pop,Dance Room,167.24900000000005
Dreams Of You (feat. Rae Morris),Dreams Of You (feat. Rae Morris),04-10-2019,Icarus,48,pop,Dance Room,291.785
I Will Let You Down (feat. KLARA),I Will Let You Down (feat. KLARA),06-12-2019,Madison Mars,59,pop,Dance Room,182.0
Carillon (with Achille Lauro),Carillon (with Achille Lauro),11-12-2019,Nahaze,64,pop,Dance Room,242.385
La Vie - Gabry Ponte Mix,La Vie (Gabry Ponte Mix),15-11-2019,DJ Ross,42,pop,Dance Room,177.6379999999
Lullaby,Lullaby,26-01-2018,R3HAB,70,pop,Dance Room,160.18399999989998
Say It,Disconnect,19-07-2019,Phantoms,57,pop,Dance Room,204.69300000000004
All This Time,All This Time,12-07-2019,Deorro,21,pop,Dance Room,225.16000000000003
All You Need To Know (feat. Calle Lehmann),Gravity,24-10-2019,Gryffin,68,pop,Dance Room,238.338
Acordeão,Acordeão,08-08-2019,Tiësto,63,pop,Dance Room,131.204
My Friend,My Friend,31-05-2019,Yves V,54,pop,Dance Room,170.0
On & On,On & On,22-11-2019,Alok,79,pop,Dance Room,147.027
Juliet & Romeo,Juliet & Romeo,06-12-2019,Martin Solveig,72,pop,Dance Room,204.514
All Around The World (La La La),All Around The World (La La La),05-04-2019,R3HAB,80,pop,Dance Room,147.84
Are You Lonely (feat. ISÁK),Are You Lonely (feat. ISÁK),22-02-2019,Steve Aoki,47,pop,Dance Room,157.333
No More (feat. Brenda Mullen) - Bottai Edit,No More (feat. Brenda Mullen) [Bottai Edit],01-03-2019,Alex Gaudino,19,pop,Dance Room,200.6399999999001
Close Your Eyes,Close Your Eyes,22-11-2019,Felix Jaehn,79,pop,Dance Room,160.79399999999998
Buzzing (with Nevve),Escapism,08-11-2019,Audien,59,pop,Dance Room,225.0
Never Be Alone (feat. Aloe Blacc),Never Be Alone (feat. Aloe Blacc),26-07-2019,David Guetta,68,pop,Dance Room,178.67099999989998
Roses - Imanbek Remix,Roses (Imanbek Remix),13-09-2019,SAINt JHN,72,pop,Dance Room,176.2189999999001
Insane,Insane,15-11-2019,Ofenbach,66,pop,Dance Room,142.23
Daydreams - Sultan + Shepard Echoes Of Life Remix,Daydreams (Sultan + Shepard Echoes Of Life Remix),03-01-2020,ARTY,59,pop,Dance Room,220.205
Only Want You - Sam Feldt Remix,Only Want You (Sam Feldt Remix),05-04-2019,Rita Ora,64,pop,Cardio,179.151
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Close To Me (Remixes),01-02-2019,Ellie Goulding,9,pop,Cardio,223.53299999990003
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Woke Up Late (Sam Feldt Remix),02-05-2019,Drax Project,41,pop,Cardio,196.47499999989998
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],27-09-2019,Ed Sheeran,69,pop,Cardio,195.924
Not Ok - Frank Walker Remix,Not Ok (Frank Walker Remix),05-07-2019,Kygo,66,pop,Cardio,183.93400000000003
Heaven (feat. Veronica),Heaven (feat. Veronica),04-01-2019,Dzeko,68,pop,Cardio,195.00000000000003
Sixteen - Don Diablo Remix,Sixteen (Don Diablo Remix),10-05-2019,Ellie Goulding,66,pop,Cardio,193.548
Don’t Give Up On Me Now (with Julie Bergan),Don’t Give Up On Me Now (with Julie Bergan),10-05-2019,R3HAB,63,pop,Cardio,127.82600000000001
Brave,Brave,26-04-2019,Don Diablo,68,pop,Cardio,184.02700000000002
Let It Be Me,Let It Be Me,06-09-2019,Steve Aoki,23,pop,Cardio,224.06100000000004
Carry On - Nicky Romero Remix,Carry On (Nicky Romero Remix),30-05-2019,Kygo,67,pop,Cardio,175.312
